order,assigned,citation?,prop_d28,prop_d4,prop_d7,prop,native,organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,database,field_lab,population_country,population_state,population_description,trait,trait_value_rank,trait_value,trait_unit,trait_description,notes
200,,1,NA,0.545253863,0.697571744,0.416176471,0,4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,,,Japan,NA,Seto Inland Sea,reproduction,1,S,categorical,sexes are separate; no mention of methods other than sexual reproduction,NA
215,,1,NA,0.187637969,0.719646799,0.302205882,0,4550,Sinocorophium alienense,species,Sinocorophium homoceratum,species,congener,Ko et al 2016,,,Korea,NA,Gomso Bay,reproduction,1,S,categorical,"sexes are separate, no indication of self fertilization",NA
225,,1,0.757709251,0.889624724,0.21192053,0.619852941,1,4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Hiebert et al 2016,,,United States,NA,NA,reproduction,1,S,categorical,NA,"less sexually dimorphic than other corophium species, but still implies that reproduction is direct and requires 2 individuals."
234,,1,0.735682819,0.746136865,0.284768212,0.588970588,1,4630,Americorophium stimpsoni,species,Corophium spinicorne,species,congener,Hiebert et al 2016,,,United States,NA,NA,reproduction,1,S,categorical,NA,presumed that members of the same genus are similar in reproduction
245,,1,0.751101322,0.841059603,0.337748344,0.643382353,0,4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Sutcliffe 1992,,,NA,NA,NA,reproduction,1,S,categorical,sexually dimorphic with courting patterns and sexual reproduction among various Gammarus species studied.,NA
277,,1,NA,0.735099338,0.834437086,0.522794118,0,6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nicolini and Penry 2000,,,United States,California,San Francisco Bay,reproduction,1,S,categorical,broadcast spawners,NA
126,,1,0.854625551,0.80794702,0.626931567,0.763235294,1,2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Chapman and Brinkhurst 1980,,,Canada,BC,Fraser River Estuary,salinity_tolerance,3,10.5,ppt,"measured in lab. LD 50 between 10-10.5 for mature and immature worms out of sediment. 9.4-10.5 in sand, 14.3 for immature worms acclimated to 5 ppt.",NA
143,,1,0.916299559,0.91611479,0.298013245,0.710294118,0,2730,Varichaetadrilus angustipenis,species,Limnodrilus hoffmeisteri,species,confamiliar,Chapman and Brinkhurst 1980,,,Canada,BC,Fraser River Estuary,salinity_tolerance,1,10.5,ppt,"measured in lab. LD 50 between 10-10.5 for mature and immature worms out of sediment. 9.4-10.5 in sand, 14.3 for immature worms acclimated to 5 ppt.",chose 10.5 as the value as its the highest in sand for both mature and immature L hoffmeisteri.
171,,1,0.9030837,0.101545254,NA,0.335294118,0,3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Brehm 1978,,,United States,MS,Simmon's Bayou near Ocean Springs,salinity_tolerance,1,11,ppt,based on a just five specimens collected from the field so might not be a very good estimate for tolerance,NA
127,,1,0.854625551,0.80794702,0.626931567,0.763235294,1,2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Brinkhurst and Simmons 1968,,,United States,CA,San Francisco Bay,salinity_tolerance,1,13,ppt,field observation,"couldn't find this paper, cited in Rodriguez et al 2006; chose this as best trait value becasuse reported from SFE"
264,,1,0.995594714,0.997792494,0.271523179,0.755147059,0,6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Morton and Tong 1985,,,NA,NA,NA,salinity_tolerance,1,13,ppt,"at 13ppt and less, osmoregulates and maintains constant tissue chloride levels for 7 days. Above 13ppt, osmoconforms and mortality progressively increases with salinity and time.",NA
128,,1,0.854625551,0.80794702,0.626931567,0.763235294,1,2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Chapman et al 1982,,,Canada,BC,Fraser River Estuary,salinity_tolerance,2,14.5,ppt,measured in lab. LD 50 with sediment; LD50 without sediment was 10 ppt,"see Table V for all environmental factors (also pH); though not from the SFE, this is a good trait value because done in controlled lab conditions"
246,,1,0.751101322,0.841059603,0.337748344,0.643382353,0,4750,Gammarus daiberi,species,Gammarus daiberi,species,target,Bousfield 1973,,,NA,NA,NA,salinity_tolerance,1,15,ppt,field observation,collected at this salinity
113,,1,0.931718062,0.761589404,NA,0.580147059,1,2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum sp.,genus,congener,Muniz et al 2011,,,Uruguay,NA,Montevideo coastal zone,salinity_tolerance,2,27.5,ppt,measured in field at bottom of water column (see Tables 1 and 3),not necessarily upper salinity limit; just highest value where species observed
201,,1,NA,0.545253863,0.697571744,0.416176471,0,4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Lee et al. 2003,,,United States,CA,San Francisco Bay,salinity_tolerance,1,27.5,ppt,field observation,didn't have access to book chapter; this is already pulled from NEMESIS database
216,,1,NA,0.187637969,0.719646799,0.302205882,0,4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Lee et al 2003,,,United States,California,San Francisco Bay,salinity_tolerance,1,27.5,ppt,field observation,NA
156,,1,NA,0.514348786,0.196467991,0.238970588,0,3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Kravitz 1987,,,United States,FL,Gulf of Mexico,salinity_tolerance,1,30,ppt,collected in field at 30 PSU but rare above 18 PSU,this is already pulled from NEMESIS database
278,,1,NA,0.735099338,0.834437086,0.522794118,0,6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al 1990,,,United States,California,San Francisco Bay,salinity_tolerance,1,32.6,ppt,highest observed at field station from June 1987-November 1988.,NA
226,,1,0.757709251,0.889624724,0.21192053,0.619852941,1,4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Hiebert et al 2016,,,United States,NA,NA,salinity_tolerance,1,33.6,ppt,NA,"strongly euryhaline, often found in freshwater habitats (Erikson 1968)"
235,,1,0.735682819,0.746136865,0.284768212,0.588970588,1,4630,Americorophium stimpsoni,species,Corophium spinicorne,species,congener,Hiebert et al 2016,,,United States,NA,NA,salinity_tolerance,1,33.6,ppt,NA,Betsy describes them as living in similar habitats based on the GRTS survey data so probably reasonable to use the same salinity tolerance value for both
180,,1,0.539647577,0.737306843,0.390728477,0.555882353,0,3450,Laonome calida,species,Laonome calida,species,target,Capa et al 2007,,,Australia,NA,Dampier Archipelago,salinity_tolerance,1,35,ppt,based on field data. open-water marine habitat so inferred to be 35 ppt,not clear if Australia and US species are the same; this record already pulled from NEMESIS
191,,1,0.392070485,NA,NA,0.163970588,1,4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,,,Spain,NA,Spanish Mediterranean coast,salinity_tolerance,1,63,ppt,field observation; see Fig. 9; actually relevant data from Marco Barba 2010 (PhD thesis); much higher than ocean water,NA
114,,1,0.931718062,0.761589404,NA,0.580147059,1,2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,,,Czech Republic,NA,Rokytna River,thermal_tolerance,1,19.4,C,highest temperature measured during monthly field sampling over two years in one short section of river (Table 1),not necessarily upper thermal limit; just highest value where species observed
181,,1,0.539647577,0.737306843,0.390728477,0.555882353,0,3450,Laonome calida,species,Laonome calida,species,target,Capa et al 2014,,,Netherlands,NA,Eijsden,thermal_tolerance,1,20,C,upper range of temperatures observed in field during sampling period,NA
236,,1,0.735682819,0.746136865,0.284768212,0.588970588,1,4630,Americorophium stimpsoni,species,Corophium stimpsoni,species,synonym,McCarthy 1972,,,United States,Oregon,Siltcoos River,thermal_tolerance,1,20,C,"range of temperatures observed at field sampling site, See Table 2",NA
227,,1,0.757709251,0.889624724,0.21192053,0.619852941,1,4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Eriksen 1968,,,United States,California,Oso Flaco Lake,thermal_tolerance,1,22.8,C,field observation,highest measured temperature of study site where this species is present. (Erikson 1968)
279,,1,NA,0.735099338,0.834437086,0.522794118,0,6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al. 1990,,,United States,California,San Francisco Bay,thermal_tolerance,1,23,C,highest observed in the field,selected as best trait value because from SFE (though other value is higher)
115,,1,0.931718062,0.761589404,NA,0.580147059,1,2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum sp.,genus,congener,Muniz et al 2011,,,Uruguay,NA,Montevideo coastal zone,thermal_tolerance,2,25.5,C,measured at bottom of water column in field (see Tables 1 and 3),not necessarily upper thermal limit; just highest value where species observed
202,,1,NA,0.545253863,0.697571744,0.416176471,0,4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,,,Japan,NA,Seto Inland Sea,thermal_tolerance,1,28,C,"in the field, most populations diapause in summer (~28C)",NA
280,,1,NA,0.735099338,0.834437086,0.522794118,0,6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al. 1990,,,United States,Asia,NA,thermal_tolerance,2,28,C,highest observed in the field,cited Sverdrup et al 1947
172,,1,0.9030837,0.101545254,NA,0.335294118,0,3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Poe and Stefan 1974,,,United States,PA,Schuylkill River,thermal_tolerance,1,28.3,C,based on monthly field measurements,"paper also includes ranges for DO, pH, depth, temperature, and velocity"
265,,1,0.995594714,0.997792494,0.271523179,0.755147059,0,6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Falfushynska et al 2016,,,United States,North Carolina,Lake Norman,thermal_tolerance,3,29.8,C,measured in lab. temperature causing 50% mortality,populations from two natural sites; excluded cooling water discharge site
217,,1,NA,0.187637969,0.719646799,0.302205882,0,4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Chapman 2007,,,NA,NA,NA,thermal_tolerance,1,30,C,collected in marsh pools at this temperature,NA
157,,1,NA,0.514348786,0.196467991,0.238970588,0,3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Wern 1985,,,United States,TX,brackish marsh at Sea Rim State Park,thermal_tolerance,1,31,C,field observation,Didn't have access to article; got data from NEMESIS
247,,1,0.751101322,0.841059603,0.337748344,0.643382353,0,4750,Gammarus daiberi,species,Gammarus daiberi,species,target,Nauman and Cory 1969,,,United States,Maryland,Chalk Point,thermal_tolerance,1,32,C,average temperature in thermal effluent in June when G daiberi were present,NA
266,,1,0.995594714,0.997792494,0.271523179,0.755147059,0,6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Falfushynska et al 2016,,,United States,North Carolina,Catawba River,thermal_tolerance,2,34.9,C,measured in lab. temperature causing 50% mortality,populations from two natural sites; excluded cooling water discharge site
129,,1,0.854625551,0.80794702,0.626931567,0.763235294,1,2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Chapman et al 1982,,,Canada,BC,Fraser River Estuary,thermal_tolerance,1,35,C,measured in lab. LD 50 with sediment; LD50 without sediment was 34C,see Table V for all environmental factors (also pH); selected as best value because more rigorous than other value
144,,1,0.916299559,0.91611479,0.298013245,0.710294118,0,2730,Varichaetadrilus angustipenis,species,Limnodrilus hoffmeisteri,species,confamiliar,Chapman et al 1982,,,Canada,BC,Fraser River Estuary,thermal_tolerance,1,35,C,measured in lab. 96-h LC50 in sediment. out of sediment is 34C. other environmental factors kept constant.,NA
267,,1,0.995594714,0.997792494,0.271523179,0.755147059,0,6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Karatayev et al 2006,,,NA,NA,NA,thermal_tolerance,1,37,C,NA,"see Table 1 for salinity, pH, and temp tolerance summary; selected as best value because it is the highest one"
192,,1,0.392070485,NA,NA,0.163970588,1,4090,Cyprideis sp. A,genus,Cyprideis spp.,genus,congener,Prayudi et al 2024,,,Bahrain,NA,Murray's Pool in western Arabian Gulf,thermal_tolerance,1,39.4,C,measured in lab. specimens became comatose; LD50 was 51.8C,couldn't find anything for this genus on google scholar
130,,1,0.854625551,0.80794702,0.626931567,0.763235294,1,2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm 2020,,,Estonia,NA,NA,thermal_tolerance,2,40,C,lethal temperature observed anecdotally in lab,NA
219,,1,NA,0.187637969,0.719646799,0.302205882,0,4550,Sinocorophium alienense,species,Corophium multisetosum,species,confamiliar,"Cunha et al 2000, Cunha et al 2000",,,Portugal,NA,Ria de Aveiro,voltinism,2,M,categorical,"based on field observations. semiannual, iteroparous life history. brooding females collected monthly over one year of the study. Second paper found latitudinal variations in fecundity, but still 2+ generations per year and practically continuous breeding due to maturation time and reproductive age",NA
220,,1,NA,0.187637969,0.719646799,0.302205882,0,4550,Sinocorophium alienense,species,Corophium insidiosum,species,confamiliar,Kevrekidis 2004,,,Greece,Evros Delta,Monolimni lagoon,voltinism,1,M,categorical,"based on field observations. 2-6.5 generations with variable lifespan, depending on latitude and temperature","Leela's consensus, later split up into different lines of data: semi annual/2 generations per year. Based on multiple papers of different species, C. orientale, C. multisetosum, C. volutator, C. arenarium."
229,,1,0.757709251,0.889624724,0.21192053,0.619852941,1,4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Hiebert et al 2016,,,United States,NA,San Francisco Bay,voltinism,1,M,categorical,<4 broods per year,"young remain in brood pouch for four weeks, and females produce up to four broods per year (Green 1968)."
238,,1,0.735682819,0.746136865,0.284768212,0.588970588,1,4630,Americorophium stimpsoni,species,Corophium multisetosum,species,confamiliar,"Cunha et al 2000, Cunha et al 2000",,,Portugal,NA,Ria de Aveiro,voltinism,2,M,categorical,"based on field observations. semiannual, iteroparous life history. brooding females collected monthly over one year of the study. Second paper found latitudinal variations in fecundity, but still 2+ generations per year and practically continuous breeding due to maturation time and reproductive age",NA
239,,1,0.735682819,0.746136865,0.284768212,0.588970588,1,4630,Americorophium stimpsoni,species,Corophium insidiosum,species,confamiliar,Kevrekidis 2004,,,Greece,Evros Delta,Monolimni lagoon,voltinism,1,M,categorical,"based on field observations. 2-6.5 generations with variable lifespan, depending on latitude and temperature","Leela's consensus, later split up into different lines of data: semi annual/2 generations per year. Based on multiple papers of different species, C. orientale, C. multisetosum, C. volutator, C. arenarium."
249,,1,0.751101322,0.841059603,0.337748344,0.643382353,0,4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Sutcliffe 1992,,,NA,NA,NA,voltinism,1,M,categorical,"eggs develop between 17-35 days at 10C dependig on egg size, and enter diapause sometime between mid summer and early winter. Become ovigerous depending on daylight hours.",NA
269,,1,0.995594714,0.997792494,0.271523179,0.755147059,0,6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Sousa et al 2008,,,NA,NA,NA,voltinism,1,M,categorical,"majority of studies conclude 2 a year (spring/late summer), but could be 1-3 depending on temp, food availability, and location.",NA
282,,1,NA,0.735099338,0.834437086,0.522794118,0,6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nicolini and Penry 2000,,,United States,California,San Francisco Bay,voltinism,1,M,categorical,laboratory study. But field studies suggest Reproduction occurs year round in SF Bay,regional variations based on water flow and food availability
117,,1,0.931718062,0.761589404,NA,0.580147059,1,2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,,,Czech Republic,NA,Rokytna River,voltinism,1,U,categorical,field observation,NA
132,,1,0.854625551,0.80794702,0.626931567,0.763235294,1,2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm 2020,,,Estonia,NA,NA,voltinism,1,U,categorical,"in laboratory, commonly univoltine but multiple studies indicate several generations per year in higher temperatures",NA
146,,1,0.916299559,0.91611479,0.298013245,0.710294118,0,2730,Varichaetadrilus angustipenis,species,Limnodrilus hoffmeisteri,species,confamiliar,Kennedy 1966,,,NA,NA,NA,voltinism,1,U,categorical,"in laboratory, mature over 1 year, breed, and then often die. But individuals from the population can be found breeding year round. Other species Limnodrilus udekemianus took 2 years to reach maturity, breeding period varied on location",NA
159,,1,NA,0.514348786,0.196467991,0.238970588,0,3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,,,Germany,NA,NA,voltinism,1,U,categorical,field observations. indicated sexually mature individuals present July-Oct,NA
174,,1,0.9030837,0.101545254,NA,0.335294118,0,3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,,,United States,CA and OR,multiple rivers and creeks,voltinism,1,U,categorical,annual life cycle described from lab experiments,NA
183,,1,0.539647577,0.737306843,0.390728477,0.555882353,0,3450,Laonome calida,species,Laonome albicingillum,species,congener,Hsieh 1995,,,Taiwan,NA,"Tanshui River estuarine system, located northwest of Taipei City",voltinism,1,U,categorical,based on field observations. a little hard to tell because reproduction Oct-May,NA
194,,1,0.392070485,NA,NA,0.163970588,1,4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Heip 1976,,,Belgium,NA,brackish pond,voltinism,1,U,categorical,field observations,NA
204,,1,NA,0.545253863,0.697571744,0.416176471,0,4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,,,Japan,NA,Seto Inland Sea,voltinism,1,U,categorical,field observations,NA
